rank	username	minecraft:crafted/minecraft:netherite_leggings
1	Kowcio_	36
2	500am	19
3	Hyp3rion_	10
4	Ryan_GEMS	9
5	TheBananaKat	8
6	OreTheBear	4
6	StarCookiees_	4
8	pintsizedrogue	3
8	Apollo_993	3
8	hm947	3
8	Lez_	3
8	hanaryheatwave	3
8	luseis	3
8	THEKINGLyric10	3
8	iSammael	3
16	Alteriity	2
16	Huwulling	2
16	lunathelemon	2
16	Fullut	2
16	Marbz_	2
16	SuperPooch06	2
16	thewindmillman	2
16	ScootOfBoot	2
16	Mattesco	2
16	Wowful	2
16	Manaateee	2
16	HellsSponge	2
16	LazySupport00	2
16	mihimihimihi	2
16	Jimb0nat0r	2
16	xolstoi	2
32	H0UNDFRMH3LL	1
32	j5ylim	1
32	k_ce	1
32	chipklip	1
32	_Huge_Male_	1
32	RoskobiOne	1
32	CloroxBleach385	1
32	SmashingPump	1
32	Merv__	1
32	AuroraValkyrie	1
32	EMC_	1
32	6king6colt6	1
32	Sleek_Storm_721	1
32	itburb	1
32	_Razaria	1
32	tuckerdoodle	1
32	Wooptey	1
32	RebelAndroid	1
32	lorywithay	1
32	ActualPatbaf	1
32	CoffeeNoir	1
32	NinjaKnifeKill	1
32	ITDV	1
32	ccwildfire1	1
32	NieToksikpl	1
32	xPixelRainx	1
32	CliffEmAll	1
32	TheSecondLord	1
32	Chickenchaser2	1
32	mattybeewrapss	1
32	bloodbiter	1
32	12Magner05	1
32	MinttyFressh	1
32	Megarboh	1
32	Secret_Canary	1
32	_lildarki3	1
32	Smashic	1
32	excelsionprime	1
32	Kkanot	1
32	4774	1
32	Flapjacker687	1
32	lorpus	1
32	Awyrlas	1
32	PegLegPete93	1
32	Inchef	1
32	Xalithia	1
32	__TheNorseMan__	1
32	Cellcorgi649	1
32	Covalents	1
32	ARandomHedge	1
32	CharlieButt	1
32	mimbo1211	1
32	TheDankPlatypus	1
32	shadowthemonkey	1
32	Winklepicker279	1
32	Jackattack53	1
32	Chromary	1
32	burbankbuilder28	1
32	pappaberg	1
32	Krowuss	1
32	Rocco_Lane	1
32	Rebytre	1
32	Hiryu27	1
32	oscminus	1
32	HAIRYCLOUD626	1
32	ApophisNova	1
32	Afinnity	1
32	SpaggeDR	1
32	KartivGal	1
32	AlexxO_o	1
32	Jonte0599	1
32	Gmoney390	1
32	spellmre	1
32	sammidk	1
32	KeruNatsema	1
32	PuFY	1
32	zToasty69z	1
32	Luminad3	1
32	TJawesome09	1
32	MrQuanQuan	1
32	AuroraSkies	1
32	ogoa	1
32	ReSynced	1
32	LeonelSalamanca	1
32	Gab4101	1
32	XxCookiequeenxX	1
32	EveryonesUncle	1
32	Deodorante	1
32	Lutres_	1
32	DarkS0L	1
32	Fuad_R	1
32	_Karmaa	1
32	RoBe__	1
32	StinkyDiplomat	1
32	DanTheBuilderino	1
32	Quaintster	1
32	MAns_44	1
32	FreakGenius	1
32	EfficientC52	1
32	Not_Insom	1
32	censorsheep	1
32	MightyWertu	1
32	the__Reaper4999	1
32	SingedBread	1
32	monky_irl	1
32	Druid95	1
32	ItsDeltaMC	1
32	sp00ky_ghost977	1
32	Kura2218	1
32	Strangemonkey71	1
32	Eraxa	1
32	TheEnderMan548	1
32	pixelviolin	1
32	UCP_TheKingK	1
32	Soplight	1
32	Spenduh	1
32	LeEricc	1
32	non089	1
32	PortlyPete69	1
32	_Yonk_	1
32	UltraZombie	1
32	KeterComet	1
32	fffMike	1
32	Winston_Ingram	1
32	MilleGrug	1
32	Njensen7	1
32	Kubeusz2010	1
32	TheOuterCore	1
32	MissCeleste7	1
32	RadarHz	1
32	MyNamaSheff	1
32	Nicserso	1
32	FelixPSY375	1
32	AltnumberF4	1
32	Enderxz3	1
32	HesDemonPants	1
32	Biites	1
32	AdmiralSmoke	1
32	00000000-0000-0000-0009-01ff0c3e5e4f	1
