rank	username	minecraft:killed/minecraft:trader_llama
152	dudcreeper	2
152	hollowww	2
152	Merv__	2
152	Dumkii	2
152	q_wq	2
152	Tommhh	2
152	diamondgolem35	2
152	chrolus	2
152	DinoDoctor_	2
152	Minimize501	2
152	Ryker	2
152	nattybears	2
152	jimintyy	2
152	ActualPatbaf	2
152	ZaneABrain	2
152	KomputerDude	2
152	MoistMicrowave	2
152	Jackster03	2
152	Da_Boss_Rani	2
152	picardred	2
152	dopplexd	2
152	titanlax	2
152	Malorn_Aetherius	2
152	Comma__	2
152	Chickenchaser2	2
152	12Magner05	2
152	TheThomas69	2
152	zorin123	2
152	corvidpartyfor6	2
152	Secret_Canary	2
152	AJbeast01	2
152	CrookedKaptain	2
152	UncreativeArtist	2
152	Scathra	2
152	thescout7	2
152	intropass	2
152	Roenfire	2
152	imcombxt	2
152	Glowhetic	2
152	Bolete	2
152	Windo_licker	2
152	Marbz_	2
152	Aavermu	2
152	Ristebraaten	2
152	Itz_DuongVN	2
152	SlayerCrypto	2
152	WET_WET_WET	2
152	Arceus1975	2
152	U_Mos_	2
152	Eczbox	2
152	GamerDuck123	2
152	tobinwilliams	2
152	BronkerBrum	2
152	RebytreGT	2
152	ItsAki_	2
152	Btabtab	2
152	The11thDoctor	2
152	Mattesco	2
152	DC_XII	2
152	Luminad3	2
152	Choco_Spy	2
152	fw3xy74	2
152	xDraggin	2
152	_Crimson_Legate	2
152	yulgur1	2
152	KevinLikesPie	2
152	TheSeismicDuck	2
152	FreddyFart	2
152	masskedman	2
152	aldplaysmc	2
152	fkGrim	2
152	luseis	2
152	AspenLightVT	2
152	KlausVonStiglitz	2
152	ori0le	2
152	DarkS0L	2
152	Toiton	2
152	Fuad_R	2
152	Soap_Bender	2
152	_Karmaa	2
152	blackeemperor	2
152	Xclax101	2
152	Gus2005	2
152	Groundler	2
152	MS_Pryxx	2
152	technic_squirrel	2
152	MovingFish7	2
152	NiveauSubmarine	2
152	Kura2218	2
152	ElectricDragon81	2
152	stavgod	2
152	TheEnderMan548	2
152	_Mythic____	2
152	kyouma777	2
152	MustardSquid	2
152	SvenskaHugo	2
152	AssFullaCum	2
152	SSytex_X	2
152	miramyu	2
152	c0la_c0ca	2
152	_i_ERROR_i_	2
152	SpacesickPrism	2
152	Dreamdbr14	2
152	Steelynan	2
152	Skippeh	2
152	Iamthejo	2
152	cichy096	2
152	UrbanPlanningEx	2
152	vandmanden	2
152	PA_Tech_Gaming	2
152	Zoeyfortnite	2
152	h2p_emrld	2
152	diggydog67	2
152	00000000-0000-0000-0009-01ff0c3e5e4f	2
272	Bruh77	1
272	peachfuzz1267	1
272	hr0x0	1
272	abramgray	1
272	_stets	1
272	EKUG	1
272	teslawolf38	1
272	TildaAndrea	1
272	bigstankyy	1
272	baboonlord400	1
272	RatatJuice	1
272	Hpdinosaur	1
272	BodaciousCake	1
272	No_u4	1
272	SpaceGrenadier	1
272	TheMaster972	1
272	oreee	1
272	teqilas	1
272	Ssor69	1
272	Euclidoris	1
272	Stynxy	1
272	Miroryk	1
272	XHectorSalamanca	1
272	Hydro___________	1
272	mattybeewrapss	1
272	Z3braYTIL	1
272	Uzbeki_John	1
272	Kubelz	1
272	Focat	1
